한국,2020. 05. 01,10774,248
한국,2020. 05. 02,6,2
한국,2020. 05. 03,13,0
한국,2020. 05. 04,8,2
한국,2020. 05. 05,-8,-2
한국,2020. 05. 06,13,5
한국,2020. 05. 07,4,1
한국,2020. 05. 08,12,0
한국,2020. 05. 09,18,0
한국,2020. 05. 10,34,0
한국,2020. 05. 11,35,0
한국,2020. 05. 12,27,2
한국,2020. 05. 13,26,1
한국,2020. 05. 14,29,1
한국,2020. 05. 15,27,0
한국,2020. 05. 16,19,2
한국,2020. 05. 17,13,0
한국,2020. 05. 18,15,1
한국,2020. 05. 19,13,0
한국,2020. 05. 20,32,0
한국,2020. 05. 21,12,1
한국,2020. 05. 22,20,0
한국,2020. 05. 23,23,2
한국,2020. 05. 24,25,0
한국,2020. 05. 25,0,1
한국,2020. 05. 26,35,2
한국,2020. 05. 27,40,0
한국,2020. 05. 28,79,0
한국,2020. 05. 29,58,0
한국,2020. 05. 30,39,0
한국,2020. 05. 31,27,1
한국,2020. 06. 01,35,1
한국,2020. 06. 02,38,1
한국,2020. 06. 03,49,1
한국,2020. 06. 04,39,0
한국,2020. 06. 05,39,0
한국,2020. 06. 06,51,0
한국,2020. 06. 07,57,0
한국,2020. 06. 08,38,0
한국,2020. 06. 09,38,1
한국,2020. 06. 10,50,2
한국,2020. 06. 11,45,0
한국,2020. 06. 12,56,1
한국,2020. 06. 13,48,0
한국,2020. 06. 14,34,0
한국,2020. 06. 15,36,0
한국,2020. 06. 16,34,1
한국,2020. 06. 17,43,1
한국,2020. 06. 18,59,1
한국,2020. 06. 19,94,-231
한국,2020. 06. 20,22,231
한국,2020. 06. 21,48,0
한국,2020. 06. 22,17,0
한국,2020. 06. 23,46,1
한국,2020. 06. 24,51,0
한국,2020. 06. 25,28,1
한국,2020. 06. 26,39,0
한국,2020. 06. 27,51,0
한국,2020. 06. 28,62,0
한국,2020. 06. 29,42,0
한국,2020. 06. 30,43,0
한국,2020. 07. 01,50,0
한국,2020. 07. 02,54,0
한국,2020. 07. 03,63,0
한국,2020. 07. 04,63,1
한국,2020. 07. 05,61,0
한국,2020. 07. 06,46,1
한국,2020. 07. 07,44,1
한국,2020. 07. 08,63,0
한국,2020. 07. 09,49,2
한국,2020. 07. 10,45,1
한국,2020. 07. 11,35,0
한국,2020. 07. 12,44,1
한국,2020. 07. 13,62,0
한국,2020. 07. 14,33,0
한국,2020. 07. 15,39,0
한국,2020. 07. 16,61,2
한국,2020. 07. 17,60,2
한국,2020. 07. 18,39,1
한국,2020. 07. 19,34,1
한국,2020. 07. 20,26,1
한국,2020. 07. 21,45,0
한국,2020. 07. 22,63,1
한국,2020. 07. 23,59,0
한국,2020. 07. 24,41,1
한국,2020. 07. 25,113,0
한국,2020. 07. 26,58,0
한국,2020. 07. 27,25,1
한국,2020. 07. 28,28,1
한국,2020. 07. 29,48,0
한국,2020. 07. 30,18,0
한국,2020. 07. 31,36,1
한국,2020. 08. 01,31,0
한국,2020. 08. 02,30,0
한국,2020. 08. 03,23,0
한국,2020. 08. 04,34,0
한국,2020. 08. 05,33,1
한국,2020. 08. 06,43,0
한국,2020. 08. 07,20,1
한국,2020. 08. 08,43,1
한국,2020. 08. 09,36,1
한국,2020. 08. 10,28,0
한국,2020. 08. 11,34,0
한국,2020. 08. 12,54,0
한국,2020. 08. 13,56,0
한국,2020. 08. 14,103,0
한국,2020. 08. 15,166,0
한국,2020. 08. 16,279,0
한국,2020. 08. 17,197,0
한국,2020. 08. 18,246,1
한국,2020. 08. 19,297,0
한국,2020. 08. 20,288,1
한국,2020. 08. 21,324,2
한국,2020. 08. 22,332,0
한국,2020. 08. 23,397,0
한국,2020. 08. 24,266,0
한국,2020. 08. 25,280,1
한국,2020. 08. 26,320,2
한국,2020. 08. 27,441,1
한국,2020. 08. 28,371,3
한국,2020. 08. 29,323,5
한국,2020. 08. 30,299,2
한국,2020. 08. 31,248,1
한국,2020. 09. 01,235,0
한국,2020. 09. 02,267,2
한국,2020. 09. 03,195,3
한국,2020. 09. 04,198,2
한국,2020. 09. 05,168,2
한국,2020. 09. 06,167,1
한국,2020. 09. 07,119,2
한국,2020. 09. 08,136,5
한국,2020. 09. 09,156,3
한국,2020. 09. 10,155,2
한국,2020. 09. 11,176,4
한국,2020. 09. 12,136,5
한국,2020. 09. 13,121,3
한국,2020. 09. 14,109,5
한국,2020. 09. 15,106,4
한국,2020. 09. 16,113,0
한국,2020. 09. 17,153,5
한국,2020. 09. 18,126,5
한국,2020. 09. 19,110,1
한국,2020. 09. 20,82,5
한국,2020. 09. 21,70,2
한국,2020. 09. 22,61,3
한국,2020. 09. 23,110,0
한국,2020. 09. 24,125,5
한국,2020. 09. 25,114,2
한국,2020. 09. 26,61,4
한국,2020. 09. 27,95,2
한국,2020. 09. 28,50,5
한국,2020. 09. 29,38,1
한국,2020. 09. 30,113,6
한국,2020. 10. 01,77,2
한국,2020. 10. 02,63,1
한국,2020. 10. 03,75,4
한국,2020. 10. 04,64,1
한국,2020. 10. 05,73,1
한국,2020. 10. 06,75,0
한국,2020. 10. 07,114,3
한국,2020. 10. 08,69,2
한국,2020. 10. 09,54,1
한국,2020. 10. 10,72,2
한국,2020. 10. 11,58,2
한국,2020. 10. 12,97,1
한국,2020. 10. 13,102,1
한국,2020. 10. 14,84,4
한국,2020. 10. 15,99,1
한국,2020. 10. 16,47,2
한국,2020. 10. 17,73,2
한국,2020. 10. 18,91,1
한국,2020. 10. 19,76,0
한국,2020. 10. 20,58,3
한국,2020. 10. 21,91,3
한국,2020. 10. 22,119,3
한국,2020. 10. 23,155,2
한국,2020. 10. 24,77,2
한국,2020. 10. 25,61,0
한국,2020. 10. 26,119,0
한국,2020. 10. 27,88,3
한국,2020. 10. 28,103,1
한국,2020. 10. 29,125,1
한국,2020. 10. 30,114,1
한국,2020. 10. 31,126,1
한국,2020. 11. 01,124,2
한국,2020. 11. 02,97,2
한국,2020. 11. 03,75,4
한국,2020. 11. 04,118,2
한국,2020. 11. 05,125,1
한국,2020. 11. 06,145,1
한국,2020. 11. 07,89,1
한국,2020. 11. 08,143,1
한국,2020. 11. 09,126,2
한국,2020. 11. 10,100,5
한국,2020. 11. 11,146,2
한국,2020. 11. 12,143,0
한국,2020. 11. 13,191,1
한국,2020. 11. 14,205,4
한국,2020. 11. 15,208,1
한국,2020. 11. 16,223,1
한국,2020. 11. 17,229,0
한국,2020. 11. 18,313,2
한국,2020. 11. 19,343,2
한국,2020. 11. 20,363,3
한국,2020. 11. 21,386,2
한국,2020. 11. 22,330,2
한국,2020. 11. 23,271,4
한국,2020. 11. 24,349,1
한국,2020. 11. 25,382,3
한국,2020. 11. 26,583,2
한국,2020. 11. 27,569,1
한국,2020. 11. 28,488,6
한국,2020. 11. 29,449,1
한국,2020. 11. 30,377,3
한국,2020. 12. 01,451,0
한국,2020. 12. 02,511,0
한국,2020. 12. 03,540,3
한국,2020. 12. 04,629,7
한국,2020. 12. 05,583,4
한국,2020. 12. 06,631,5
한국,2020. 12. 07,615,4
한국,2020. 12. 08,594,3
한국,2020. 12. 09,677,4
한국,2020. 12. 10,666,8
한국,2020. 12. 11,688,8
한국,2020. 12. 12,950,6
한국,2020. 12. 13,1030,2
한국,2020. 12. 14,718,7
한국,2020. 12. 15,880,13
한국,2020. 12. 16,1078,12
한국,2020. 12. 17,1011,22
한국,2020. 12. 18,1062,11
한국,2020. 12. 19,1055,14
한국,2020. 12. 20,1095,15
한국,2020. 12. 21,926,24
한국,2020. 12. 22,869,24
한국,2020. 12. 23,1090,17
한국,2020. 12. 24,983,17
한국,2020. 12. 25,1237,17
한국,2020. 12. 26,1132,20
한국,2020. 12. 27,970,15
한국,2020. 12. 28,808,11
한국,2020. 12. 29,1045,40
한국,2020. 12. 30,1048,20
한국,2020. 12. 31,967,21
한국,2021. 01. 01,1029,17
한국,2021. 01. 02,824,25
한국,2021. 01. 03,651,20
한국,2021. 01. 04,1020,19
한국,2021. 01. 05,715,26
한국,2021. 01. 06,839,20
한국,2021. 01. 07,868,19
한국,2021. 01. 08,0,0
한국,2021. 01. 09,1313,54
한국,2021. 01. 10,665,25
한국,2021. 01. 11,450,15
한국,2021. 01. 12,537,25
한국,2021. 01. 13,561,20
한국,2021. 01. 14,516,10
한국,2021. 01. 15,513,22
한국,2021. 01. 16,579,19
한국,2021. 01. 17,520,13
한국,2021. 01. 18,389,15
한국,2021. 01. 19,386,19
한국,2021. 01. 20,403,17
한국,2021. 01. 21,400,16
한국,2021. 01. 22,344,12
한국,2021. 01. 23,430,9
한국,2021. 01. 24,392,12
한국,2021. 01. 25,437,11
한국,2021. 01. 26,354,11
한국,2021. 01. 27,554,7
한국,2021. 01. 28,497,8
한국,2021. 01. 29,469,13
한국,2021. 01. 30,455,15
한국,2021. 01. 31,355,6
한국,2021. 02. 01,305,5
한국,2021. 02. 03,801,16
한국,2021. 02. 04,451,7
한국,2021. 02. 05,369,11
한국,2021. 02. 08,1054,15
한국,2021. 02. 09,302,8
한국,2021. 02. 10,443,4
한국,2021. 02. 11,504,10
한국,2021. 02. 13,765,18
한국,2021. 02. 14,326,8
한국,2021. 02. 15,344,5
한국,2021. 02. 17,1077,11
한국,2021. 02. 18,621,6
한국,2021. 02. 19,561,6
한국,2021. 02. 20,446,3
한국,2021. 02. 21,418,4
한국,2021. 02. 22,332,5
한국,2021. 02. 24,796,14
한국,2021. 02. 26,802,9
한국,2021. 02. 27,399,10
한국,2021. 02. 28,355,8
한국,2021. 03. 02,696,3
한국,2021. 03. 03,444,6
한국,2021. 03. 07,1655,22
한국,2021. 03. 08,346,8
한국,2021. 03. 09,446,3
한국,2021. 03. 10,470,3
한국,2021. 03. 11,465,4
한국,2021. 03. 12,488,10
한국,2021. 03. 13,490,5
한국,2021. 03. 14,459,2
한국,2021. 03. 15,382,6
한국,2021. 03. 16,363,3
한국,2021. 03. 17,469,8
한국,2021. 03. 22,2226,11
한국,2021. 03. 23,346,7
한국,2021. 03. 24,425,3
한국,2021. 03. 25,430,2
한국,2021. 03. 26,494,7
한국,2021. 03. 28,987,6
한국,2021. 03. 30,825,7
한국,2021. 04. 02,1612,8
한국,2021. 04. 03,542,3
한국,2021. 04. 05,1016,8
한국,2021. 04. 06,478,4
한국,2021. 04. 07,668,4
한국,2021. 04. 08,700,2
한국,2021. 04. 09,671,6
한국,2021. 04. 12,1877,6
한국,2021. 04. 13,542,5
한국,2021. 04. 14,731,7
한국,2021. 04. 15,698,6
한국,2021. 04. 16,672,2
한국,2021. 04. 17,655,4
한국,2021. 04. 19,1202,7
한국,2021. 04. 20,549,1
한국,2021. 04. 21,731,4
한국,2021. 04. 22,735,2
한국,2021. 04. 23,797,3
한국,2021. 04. 24,785,1
한국,2021. 04. 25,644,1
한국,2021. 04. 27,1011,7
한국,2021. 04. 28,775,1
한국,2021. 04. 29,678,4
한국,2021. 05. 01,1283,6
한국,2021. 05. 02,606,2
한국,2021. 05. 04,1029,7
한국,2021. 05. 07,1775,20
한국,2021. 05. 08,701,5
한국,2021. 05. 09,564,9
한국,2021. 05. 10,463,1
한국,2021. 05. 11,511,4
한국,2021. 05. 12,635,5
한국,2021. 05. 13,715,7
한국,2021. 05. 14,747,2
한국,2021. 05. 15,681,3
한국,2021. 05. 16,610,4
한국,2021. 05. 17,619,3
한국,2021. 05. 18,528,1
한국,2021. 05. 19,653,8
한국,2021. 05. 20,646,4
한국,2021. 05. 21,561,6
한국,2021. 05. 22,666,4
한국,2021. 05. 23,585,5
한국,2021. 05. 24,538,3
한국,2021. 05. 25,516,4
한국,2021. 05. 26,699,2
한국,2021. 05. 27,629,3
한국,2021. 05. 28,587,3
한국,2021. 05. 29,533,5
한국,2021. 05. 30,479,6
한국,2021. 05. 31,430,2
한국,2021. 06. 01,459,4
한국,2021. 06. 02,677,2
한국,2021. 06. 03,681,3
한국,2021. 06. 04,695,1
한국,2021. 06. 05,744,2
한국,2021. 06. 06,556,2
한국,2021. 06. 07,485,1
한국,2021. 06. 08,454,1
한국,2021. 06. 09,601,2
한국,2021. 06. 10,611,2
한국,2021. 06. 11,556,2
한국,2021. 06. 12,563,1
한국,2021. 06. 13,452,3
한국,2021. 06. 14,399,3
한국,2021. 06. 15,374,4
한국,2021. 06. 16,544,1
한국,2021. 06. 17,540,1
한국,2021. 06. 18,507,2
한국,2021. 06. 19,482,1
한국,2021. 06. 20,429,5
한국,2021. 06. 22,752,4
한국,2021. 06. 23,644,1
한국,2021. 06. 24,610,1
한국,2021. 06. 25,634,1
한국,2021. 06. 26,668,3
한국,2021. 06. 29,1710,5
한국,2021. 06. 30,794,1
한국,2021. 07. 01,762,3
한국,2021. 07. 02,826,3
한국,2021. 07. 03,793,1
한국,2021. 07. 06,2199,7
한국,2021. 07. 07,1212,1
한국,2021. 07. 08,1275,1
한국,2021. 07. 09,1316,2
한국,2021. 07. 10,1378,2
한국,2021. 07. 13,3574,8
한국,2021. 07. 14,1615,2
한국,2021. 07. 15,1600,2
한국,2021. 07. 16,1535,1
한국,2021. 07. 17,1454,4
한국,2021. 07. 20,3981,4
한국,2021. 07. 21,1784,1
한국,2021. 07. 22,1838,3
한국,2021. 07. 23,1630,3
한국,2021. 07. 24,1629,2
한국,2021. 07. 27,4169,11
한국,2021. 07. 28,0,0
한국,2021. 07. 29,3568,6
한국,2021. 07. 30,1707,4
한국,2021. 07. 31,1539,6
한국,2021. 08. 03,3858,9
한국,2021. 08. 04,1723,2
한국,2021. 08. 05,1776,3
한국,2021. 08. 06,1704,4
한국,2021. 08. 07,1822,3
한국,2021. 08. 10,4759,18
한국,2021. 08. 11,2219,1
