국가별,시점,확진자수[명],사망자수[명]
한국,2021. 01. 01,61769,917
한국,2021. 01. 02,62593,942
한국,2021. 01. 03,63244,962
한국,2021. 01. 04,64264,981
한국,2021. 01. 05,64979,1007
한국,2021. 01. 06,65818,1027
한국,2021. 01. 07,66686,1046
한국,2021. 01. 08,66686,1046
한국,2021. 01. 09,67999,1100
한국,2021. 01. 10,68664,1125
한국,2021. 01. 11,69114,1140
한국,2021. 01. 12,69651,1165
한국,2021. 01. 13,70212,1185
한국,2021. 01. 14,70728,1195
한국,2021. 01. 15,71241,1217
한국,2021. 01. 16,71820,1236
한국,2021. 01. 17,72340,1249
한국,2021. 01. 18,72729,1264
한국,2021. 01. 19,73115,1283
한국,2021. 01. 20,73518,1300
한국,2021. 01. 21,73918,1316
한국,2021. 01. 22,74262,1328
한국,2021. 01. 23,74692,1337
한국,2021. 01. 24,75084,1349
한국,2021. 01. 25,75521,1360
한국,2021. 01. 26,75875,1371
한국,2021. 01. 27,76429,1378
한국,2021. 01. 28,76926,1386
한국,2021. 01. 29,77395,1399
한국,2021. 01. 30,77850,1414
한국,2021. 01. 31,78205,1420
한국,2021. 02. 01,78510,1425
한국,2021. 02. 03,79311,1441
한국,2021. 02. 04,79762,1448
한국,2021. 02. 05,80131,1459
한국,2021. 02. 08,81185,1474
한국,2021. 02. 09,81487,1482
한국,2021. 02. 10,81930,1486
한국,2021. 02. 11,82434,1496
한국,2021. 02. 13,83199,1514
한국,2021. 02. 14,83525,1522
한국,2021. 02. 15,83869,1527
한국,2021. 02. 17,84946,1538
한국,2021. 02. 18,85567,1544
한국,2021. 02. 19,86128,1550
한국,2021. 02. 20,86574,1553
한국,2021. 02. 21,86992,1557
한국,2021. 02. 22,87324,1562
한국,2021. 02. 24,88120,1576
한국,2021. 02. 26,88922,1585
한국,2021. 02. 27,89321,1595
한국,2021. 02. 28,89676,1603
한국,2021. 03. 02,90372,1606
한국,2021. 03. 03,90816,1612
한국,2021. 03. 07,92471,1634
한국,2021. 03. 08,92817,1642
한국,2021. 03. 09,93263,1645
한국,2021. 03. 10,93733,1648
한국,2021. 03. 11,94198,1652
한국,2021. 03. 12,94686,1662
한국,2021. 03. 13,95176,1667
한국,2021. 03. 14,95635,1669
한국,2021. 03. 15,96017,1675
한국,2021. 03. 16,96380,1678
한국,2021. 03. 17,96849,1686
한국,2021. 03. 22,99075,1697
한국,2021. 03. 23,99421,1704
한국,2021. 03. 24,99846,1707
한국,2021. 03. 25,100276,1709
한국,2021. 03. 26,100770,1716
한국,2021. 03. 28,101757,1722
한국,2021. 03. 30,102582,1729
한국,2021. 04. 02,104194,1737
한국,2021. 04. 03,104736,1740
한국,2021. 04. 05,105752,1748
한국,2021. 04. 06,106230,1752
한국,2021. 04. 07,106898,1756
한국,2021. 04. 08,107598,1758
한국,2021. 04. 09,108269,1764
한국,2021. 04. 12,110146,1770
한국,2021. 04. 13,110688,1775
한국,2021. 04. 14,111419,1782
한국,2021. 04. 15,112117,1788
한국,2021. 04. 16,112789,1790
한국,2021. 04. 17,113444,1794
한국,2021. 04. 19,114646,1801
한국,2021. 04. 20,115195,1802
한국,2021. 04. 21,115926,1806
한국,2021. 04. 22,116661,1808
한국,2021. 04. 23,117458,1811
한국,2021. 04. 24,118243,1812
한국,2021. 04. 25,118887,1813
한국,2021. 04. 27,119898,1820
한국,2021. 04. 28,120673,1821
한국,2021. 04. 29,121351,1825
한국,2021. 05. 01,122634,1831
한국,2021. 05. 02,123240,1833
한국,2021. 05. 04,124269,1840
한국,2021. 05. 07,126044,1860
한국,2021. 05. 08,126745,1865
한국,2021. 05. 09,127309,1874
한국,2021. 05. 10,127772,1875
한국,2021. 05. 11,128283,1879
한국,2021. 05. 12,128918,1884
한국,2021. 05. 13,129633,1891
한국,2021. 05. 14,130380,1893
한국,2021. 05. 15,131061,1896
한국,2021. 05. 16,131671,1900
한국,2021. 05. 17,132290,1903
한국,2021. 05. 18,132818,1904
한국,2021. 05. 19,133471,1912
한국,2021. 05. 20,134117,1916
한국,2021. 05. 21,134678,1922
한국,2021. 05. 22,135344,1926
한국,2021. 05. 23,135929,1931
한국,2021. 05. 24,136467,1934
한국,2021. 05. 25,136983,1938
한국,2021. 05. 26,137682,1940
한국,2021. 05. 27,138311,1943
한국,2021. 05. 28,138898,1946
한국,2021. 05. 29,139431,1951
한국,2021. 05. 30,139910,1957
한국,2021. 05. 31,140340,1959
한국,2021. 06. 01,140799,1963
한국,2021. 06. 02,141476,1965
한국,2021. 06. 03,142157,1968
한국,2021. 06. 04,142852,1969
한국,2021. 06. 05,143596,1971
한국,2021. 06. 06,144152,1973
한국,2021. 06. 07,144637,1974
한국,2021. 06. 08,145091,1975
한국,2021. 06. 09,145692,1977
한국,2021. 06. 10,146303,1979
한국,2021. 06. 11,146859,1981
한국,2021. 06. 12,147422,1982
한국,2021. 06. 13,147874,1985
한국,2021. 06. 14,148273,1988
한국,2021. 06. 15,148647,1992
한국,2021. 06. 16,149191,1993
한국,2021. 06. 17,149731,1994
한국,2021. 06. 18,150238,1996
한국,2021. 06. 19,150720,1997
한국,2021. 06. 20,151149,2002
한국,2021. 06. 22,151901,2006
한국,2021. 06. 23,152545,2007
한국,2021. 06. 24,153155,2008
한국,2021. 06. 25,153789,2009
한국,2021. 06. 26,154457,2012
한국,2021. 06. 29,156167,2017
한국,2021. 06. 30,156961,2018
한국,2021. 07. 01,157723,2021
한국,2021. 07. 02,158549,2024
한국,2021. 07. 03,159342,2025
한국,2021. 07. 06,161541,2032
한국,2021. 07. 07,162753,2033
한국,2021. 07. 08,164028,2034
한국,2021. 07. 09,165344,2036
한국,2021. 07. 10,166722,2038
