국가별,시점,확진자수[명],사망자수[명]
한국,2020. 10. 11,24606,432
한국,2020. 10. 12,24703,433
한국,2020. 10. 13,24805,434
한국,2020. 10. 14,24889,438
한국,2020. 10. 15,24988,439
한국,2020. 10. 16,25035,441
한국,2020. 10. 17,25108,443
한국,2020. 10. 18,25199,444
한국,2020. 10. 19,25275,444
한국,2020. 10. 20,25333,447
한국,2020. 10. 21,25424,450
한국,2020. 10. 22,25543,453
한국,2020. 10. 23,25698,455
한국,2020. 10. 24,25775,457
한국,2020. 10. 25,25836,457
한국,2020. 10. 26,25955,457
한국,2020. 10. 27,26043,460
한국,2020. 10. 28,26146,461
한국,2020. 10. 29,26271,462
한국,2020. 10. 30,26385,463
한국,2020. 10. 31,26511,464
한국,2020. 11. 01,26635,466
한국,2020. 11. 02,26732,468
한국,2020. 11. 03,26807,472
한국,2020. 11. 04,26925,474
한국,2020. 11. 05,27050,475
한국,2020. 11. 06,27195,476
한국,2020. 11. 07,27284,477
한국,2020. 11. 08,27427,478
한국,2020. 11. 09,27553,480
한국,2020. 11. 10,27653,485
한국,2020. 11. 11,27799,487
한국,2020. 11. 12,27942,487
한국,2020. 11. 13,28133,488
한국,2020. 11. 14,28338,492
한국,2020. 11. 15,28546,493
한국,2020. 11. 16,28769,494
한국,2020. 11. 17,28998,494
한국,2020. 11. 18,29311,496
한국,2020. 11. 19,29654,498
한국,2020. 11. 20,30017,501
한국,2020. 11. 21,30403,503
한국,2020. 11. 22,30733,505
한국,2020. 11. 23,31004,509
한국,2020. 11. 24,31353,510
한국,2020. 11. 25,31735,513
한국,2020. 11. 26,32318,515
한국,2020. 11. 27,32887,516
한국,2020. 11. 28,33375,522
한국,2020. 11. 29,33824,523
한국,2020. 11. 30,34201,526
한국,2020. 12. 01,34652,526
한국,2020. 12. 02,35163,526
한국,2020. 12. 03,35703,529
한국,2020. 12. 04,36332,536
한국,2020. 12. 05,36915,540
한국,2020. 12. 06,37546,545
한국,2020. 12. 07,38161,549
한국,2020. 12. 08,38755,552
한국,2020. 12. 09,39432,556
한국,2020. 12. 10,40098,564
한국,2020. 12. 11,40786,572
한국,2020. 12. 12,41736,578
한국,2020. 12. 13,42766,580
한국,2020. 12. 14,43484,587
한국,2020. 12. 15,44364,600
한국,2020. 12. 16,45442,612
한국,2020. 12. 17,46453,634
한국,2020. 12. 18,47515,645
한국,2020. 12. 19,48570,659
한국,2020. 12. 20,49665,674
한국,2020. 12. 21,50591,698
한국,2020. 12. 22,51460,722
한국,2020. 12. 23,52550,739
한국,2020. 12. 24,53533,756
한국,2020. 12. 25,54770,773
한국,2020. 12. 26,55902,793
한국,2020. 12. 27,56872,808
한국,2020. 12. 28,57680,819
한국,2020. 12. 29,58725,859
한국,2020. 12. 30,59773,879
한국,2020. 12. 31,60740,900
아프가니스탄,2020. 05. 01,2171,64
아프가니스탄,2020. 05. 02,2171,64
아프가니스탄,2020. 05. 03,2469,72
아프가니스탄,2020. 05. 04,2469,72
아프가니스탄,2020. 05. 05,2469,72
아프가니스탄,2020. 05. 06,3224,95
아프가니스탄,2020. 05. 07,3392,104
아프가니스탄,2020. 05. 08,3563,105
아프가니스탄,2020. 05. 09,3563,105
아프가니스탄,2020. 05. 10,4041,115
아프가니스탄,2020. 05. 11,4402,119
아프가니스탄,2020. 05. 12,4664,121
아프가니스탄,2020. 05. 13,4967,127
아프가니스탄,2020. 05. 14,5226,130
아프가니스탄,2020. 05. 15,5339,136
아프가니스탄,2020. 05. 16,6053,153
아프가니스탄,2020. 05. 17,6402,168
아프가니스탄,2020. 05. 18,6664,169
아프가니스탄,2020. 05. 19,7072,173
아프가니스탄,2020. 05. 20,7655,177
아프가니스탄,2020. 05. 21,8145,187
아프가니스탄,2020. 05. 22,8676,193
아프가니스탄,2020. 05. 23,9216,205
아프가니스탄,2020. 05. 24,9998,216
아프가니스탄,2020. 05. 25,10582,218
아프가니스탄,2020. 05. 26,11173,219
아프가니스탄,2020. 05. 27,11831,220
아프가니스탄,2020. 05. 28,12456,227
아프가니스탄,2020. 05. 29,13036,235
아프가니스탄,2020. 05. 30,13659,246
아프가니스탄,2020. 05. 31,14443,248
아프가니스탄,2020. 06. 01,15205,257
아프가니스탄,2020. 06. 02,15750,265
아프가니스탄,2020. 06. 03,16509,270
아프가니스탄,2020. 06. 04,17267,294
아프가니스탄,2020. 06. 05,18054,300
아프가니스탄,2020. 06. 06,18969,309
아프가니스탄,2020. 06. 07,19551,327
아프가니스탄,2020. 06. 08,20342,357
아프가니스탄,2020. 06. 09,20917,369
아프가니스탄,2020. 06. 10,21459,384
아프가니스탄,2020. 06. 11,22142,405
아프가니스탄,2020. 06. 12,22890,426
아프가니스탄,2020. 06. 13,23546,446
아프가니스탄,2020. 06. 14,24102,451
아프가니스탄,2020. 06. 15,24766,471
아프가니스탄,2020. 06. 16,25527,478
아프가니스탄,2020. 06. 17,26310,491
아프가니스탄,2020. 06. 18,26874,504
아프가니스탄,2020. 06. 19,27532,546
아프가니스탄,2020. 06. 20,27878,548
아프가니스탄,2020. 06. 21,28424,569
아프가니스탄,2020. 06. 22,28833,581
아프가니스탄,2020. 06. 23,29143,598
아프가니스탄,2020. 06. 24,29481,618
아프가니스탄,2020. 06. 25,29640,639
아프가니스탄,2020. 06. 26,30175,675
아프가니스탄,2020. 06. 27,30451,683
아프가니스탄,2020. 06. 28,30616,703
아프가니스탄,2020. 06. 29,30967,721
아프가니스탄,2020. 06. 30,31238,733
